processor,os,os_version,file,time_avg_complete,time_avg_segmentating,n,method
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle26.csv,0.363388644810766,0.00028281211853027345,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle21.csv,0.35514535624533894,0.0003773689270019531,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle4.csv,0.40310974000021815,0.0005217313766479493,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle34.csv,0.3739988037850708,0.00030040740966796875,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle43.csv,0.36401063334196804,0.00039348602294921877,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle18.csv,0.36612448706291617,0.000405120849609375,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,backpack1.csv,0.4286113644018769,0.0017796993255615235,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle8.csv,0.31417209333740176,0.000523066520690918,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle3.csv,0.4075286637991667,0.00026357173919677734,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle49.csv,0.29842282701283696,0.00020778179168701172,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle31.csv,0.32838184931315484,0.0004762411117553711,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle13.csv,0.33180477456189694,0.0004388332366943359,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,backpack2.csv,0.3614338162355125,0.0017687082290649414,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle14.csv,0.4110667473636568,0.0004401445388793945,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle9.csv,0.37339150183834136,0.00043358802795410154,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle6.csv,0.3047697003930807,0.00045456886291503904,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle38.csv,0.3767816356383264,0.0005460739135742188,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle42.csv,0.36587344855070114,0.0005285978317260742,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle39.csv,0.3341552798170596,0.0003716230392456055,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle2.csv,0.3537979138083756,0.00029687881469726564,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle10.csv,0.3107069216668606,0.004061317443847657,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle50.csv,0.22865381403826177,0.0004124641418457031,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle45.csv,0.30636505149304866,0.0004053592681884766,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle46.csv,0.2592074290383607,0.00034401416778564455,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle32.csv,0.35091984886676075,0.0004706382751464844,10,quick_iterative
